"Company","ProblemCount","Problems"
"Grab","18","Adding Two Negabinary Numbers | Brick Wall | Bulb Switcher III | Find in Mountain Array | First Missing Positive | Linked List Cycle | Longest Increasing Subsequence | Median of Two Sorted Arrays | Minimum Number of Buckets Required to Collect Rainwater from Houses | Minimum Number of Food Buckets to Feed the Hamsters | Next Permutation | Number of Steps to Reduce a Number to Zero | Number of Times Binary String Is Prefix-Aligned | Pascal's Triangle | Reconstruct a 2-Row Binary Matrix | Reorder Routes to Make All Paths Lead to the City Zero | Search in Rotated Sorted Array | Sort Colors"
"Grappus","1","Reverse Linked List II"
"Gray Orange","1","Permutations"
"Greatwits Services Pvt Ltd","1","Copy List with Random Pointer"
"Green apple","1","Linked List Cycle"
"GreenCloud","1","Kth Largest Element in an Array"
"Grofers","1","Implement Stack using Queues"
"Groupon","6","Longest Palindromic Substring | Longest String Chain | Minimum Cost Homecoming of a Robot in a Grid | Peak Index in a Mountain Array | Search in Rotated Sorted Array | Sell Diminishing-Valued Colored Balls"
"Groww","2","Coin Change II | Linked List Cycle"
"GSN Games","5","Game Play Analysis I | Game Play Analysis II | Game Play Analysis III | Game Play Analysis IV | Game Play Analysis V"
"Guardian Life","1","Implement Stack using Queues"
"Hackerrank","1","Number of Ways to Paint N x 3 Grid"
"Hackett Group","1","Minimum Number of Taps to Open to Water a Garden"
"Happiest Minds Technologies Limited","1","Linked List Cycle"
"HashedIn","11","Counting Bits | Excel Sheet Column Title | Find the Duplicate Number | Implement Stack using Queues | Linked List Cycle | Longest Increasing Subsequence | Median of Two Sorted Arrays | Minimum Deletions to Make Character Frequencies Unique | Reverse Linked List II | Search in Rotated Sorted Array | Sliding Window Maximum"
"Hashedin By Deloitte","1","Coin Change II"
"HBO","2","Short Encoding of Words | Sliding Window Median"
"HCL Inofsystem","1","Largest Color Value in a Directed Graph"
"HCL Inofsystem LTD.","1","Shortest Path Visiting All Nodes"
"HCL Software","1","Reverse Words in a String III"
"HCL Tech","1","Sliding Window Maximum"
"HCL Technologies","4","Check If It Is a Straight Line | Longest Increasing Subsequence | Longest Palindromic Substring | Reverse Linked List II"
"HCODE Technologies","1","Reverse Linked List II"
"HeavyWater","1","Kth Smallest Instructions"
"Hedonova","1","Linked List Cycle"
"Helix","1","Count Binary Substrings"
"Hexaview Technologies","1","Linked List Cycle"
"Hexaware Tech","1","Letter Combinations of a Phone Number"
"Hexaware Technologies","2","Kth Largest Element in an Array | Reverse Linked List II"
"Hike","7","Find in Mountain Array | Kth Largest Element in an Array | Linked List Cycle | LRU Cache | Peak Index in a Mountain Array | Search in Rotated Sorted Array | Word Break"
"Honey","1","Maximum Length of a Concatenated String with Unique Characters"
"Honeywell","1","Minimum Distance to the Target Element"
"Hotstar","5","Asteroid Collision | Daily Temperatures | Find K Pairs with Smallest Sums | Keys and Rooms | Three Equal Parts"
"Housing.com","2","Add Two Numbers II | Find the Duplicate Number"
"Houzz","1","Basic Calculator III"
"HP Enterprise","1","Counting Bits"
"HRT","10","24 Game | Add Edges to Make Degrees of All Nodes Even | Convert Integer to the Sum of Two No-Zero Integers | Detect Pattern of Length M Repeated K or More Times | Equal Sum Arrays With Minimum Number of Operations | Find Peak Element | Maximum 69 Number | Maximum Total Importance of Roads | Number of Atoms | Remove Comments"
"HSBC","10","Coin Change II | Counting Bits | Interleaving String | Linked List Cycle | Longest Increasing Subsequence | Longest Palindromic Substring | Maximum Level Sum of a Binary Tree | Pow(x, n) | Search a 2D Matrix | Sliding Window Maximum"
"Huawei","4","Add Two Numbers | Longest Increasing Subsequence | Maximum Binary String After Change | Minimum Number of Visited Cells in a Grid"
"Hudson River Trading","6","Apply Operations to Make All Array Elements Equal to Zero | Count Unguarded Cells in the Grid | Largest Combination With Bitwise AND Greater Than Zero | Longest Path With Different Adjacent Characters | Remove Comments | Verbal Arithmetic Puzzle"
"Hughes Systique Corporation (HSC)","1","Sliding Window Maximum"
"Hulu","3","Basic Calculator III | K-th Smallest in Lexicographical Order | Number of Valid Subarrays"
"Hyper Verge","1","Median of Two Sorted Arrays"
"Hyundai Mobis","1","Permutations"
"IBM","36","Activity Participants | Add Two Numbers II | Average Value of Even Numbers That Are Divisible by Three | Backspace String Compare | Best Time to Buy and Sell Stock with Transaction Fee | Candy | Coin Change II | Construct String from Binary Tree | Degree of an Array | Divide Players Into Teams of Equal Skill | Find the Array Concatenation Value | Find the Difference | Find The Original Array of Prefix Xor | Gas Station | Get Equal Substrings Within Budget | Group Anagrams | Longest Increasing Subsequence | Longest Palindromic Substring | Maximal Square | Maximum Profitable Triplets With Increasing Prices I | Maximum Profitable Triplets With Increasing Prices II | Median of Two Sorted Arrays | Merge Intervals | Minimum Suffix Flips | Most Visited Sector in a Circular Track | Move Zeroes | Number of Divisible Triplet Sums | Numbers With Repeated Digits | Reverse Linked List II | Roman to Integer | Sliding Window Maximum | Smallest Missing Non-negative Integer After Operations | Sort the Students by Their Kth Score | Two Sum | Water Bottles | Word Break"
"IBM (Phemesoft)","1","Pascal's Triangle"
"IEO MAKERS FABLAB (OPC) PRIVATE LIMITED","1","Linked List Cycle"
"IHS Markit","1","Implement Stack using Queues"
"IIT Bombay","1","Score After Flipping Matrix"
"Ikarus 3D","1","Frog Jump"
"IMC","6","Count Artifacts That Can Be Extracted | Find the Safest Path in a Grid | Insert into a Sorted Circular Linked List | Minimum Knight Moves | Reaching Points | Time Taken to Cross the Door"
"Impact Analytics","1","Implement Stack using Queues"
"Impetus","1","Unique Paths"
"Inca Infotech","1","Pascal's Triangle"
"Incedo Inc.","6","Find the Highest Altitude | Implement Stack using Queues | Majority Element II | Maximum Difference Between Increasing Elements | Reverse Linked List II | Sliding Window Maximum"
"Increff","1","Longest Palindromic Substring"
"Indeed","14","Alert Using Same Key-Card Three or More Times in a One Hour Period | Binary Tree Tilt | Find Median from Data Stream | Find Players With Zero or One Losses | Find Words That Can Be Formed by Characters | Maximum Length of Repeated Subarray | Merge k Sorted Lists | Merge Sorted Array | Minimum Cost to Split an Array | Minimum Knight Moves | Subdomain Visit Count | Sum of Even Numbers After Queries | Text Justification | Word Search"
"Indiamart","3","Implement Stack using Queues | Longest Palindromic Substring | Permutations"
"Indus Valley Partners","2","Linked List Cycle | Reverse Linked List II"
"Infineon Technologies","1","Add Two Numbers II"
"Info Edge","1","Find the Minimum and Maximum Number of Nodes Between Critical Points"
"Infoedge","2","Coin Change II | Reverse Linked List II"
"Infoedge India","1","Integer Break"
"Informatica","3","Add Two Numbers II | Linked List Cycle | Search in Rotated Sorted Array"
"Infosys","41","3Sum | 4 Sum | Can Convert String in K Moves | Candy | Coin Change II | Count the Number of Ideal Arrays | Counting Bits | Design HashMap | Determine the Minimum Sum of a k-avoiding Array | Find Building Where Alice and Bob Can Meet | Find the Minimum Possible Sum of a Beautiful Array | Frequency of the Most Frequent Element | Frog Jump | Is Graph Bipartite? | Kth Largest Element in an Array | Largest Number After Mutating Substring | Linked List Cycle | Longest Increasing Subsequence | Longest Well-Performing Interval | Maximum Number of Consecutive Values You Can Make | Maximum Product After K Increments | Maximum Product Subarray | Maximum Segment Sum After Removals | Maximum Subarray | Minimum Addition to Make Integer Beautiful | Minimum Flips to Make a OR b Equal to c | Minimum Number of Refueling Stops | Minimum Reverse Operations | Minimum Total Distance Traveled | Number of Beautiful Integers in the Range | Number of Nodes With Value One | Partition Array Into Two Arrays to Minimize Sum Difference | Permutations | Reverse Linked List II | Score of Parentheses | Sort Integers by The Number of 1 Bits | Sort the People | Stone Game VIII | The Number of Beautiful Subsets | Unique Binary Search Trees II | Word Break"
"Ingenuity Gaming","1","Reorganize String"
"InMobi","5","Cheapest Flights Within K Stops | Implement Stack using Queues | Maximum Length of Pair Chain | Search in Rotated Sorted Array | Shortest Path in Binary Matrix"
"Innovaccer","4","Design HashMap | Longest Palindromic Substring | Reverse Linked List II | Sliding Window Maximum"
"Innovacer","1","Search in Rotated Sorted Array"
"Instacart","3","Check if Every Row and Column Contains All Numbers | Search in a Sorted Array of Unknown Size | Sliding Window Maximum"
"Instagram","1","All the Pairs With the Maximum Number of Common Followers"
"Intel","9","Clumsy Factorial | Find Consecutive Integers from a Data Stream | Longest Palindromic Substring | Reverse String | Sliding Window Maximum | Sort Colors | Trapping Rain Water | Two Sum | Valid Parentheses"
"Intel Labs","1","Reverse Linked List II"
"Interics Tech","1","Search in Rotated Sorted Array"
"Intuit","34","Add Two Numbers II | Basic Calculator IV | Boats to Save People | Coin Change II | Decode String | Delete Nodes And Return Forest | Destroy Sequential Targets | Find Median from Data Stream | Implement Stack using Queues | Kth Largest Element in an Array | Length of the Longest Subsequence That Sums to Target | Longest Increasing Subsequence | Longest Palindromic Substring | Longest Substring Without Repeating Characters | LRU Cache | Maximum Total Beauty of the Gardens | Median of Two Sorted Arrays | Merge Intervals | Most Profitable Path in a Tree | Number of Distinct Substrings in a String | Number of Provinces | Number of Substrings With Fixed Ratio | Palindrome Linked List | Reverse Linked List | Reverse Linked List II | Search in Rotated Sorted Array | Shortest Path in Binary Matrix | Subdomain Visit Count | Sudoku Solver | Trapping Rain Water | Two Sum | Unique Email Addresses | Validate Binary Tree Nodes | Word Break"
"ION","4","Minimum Sum of Mountain Triplets I | Minimum Sum of Mountain Triplets II | Reverse Linked List II | Validate Binary Tree Nodes"
"Ion Trading","3","Find First and Last Position of Element in Sorted Array | Linked List Cycle | Search in Rotated Sorted Array"
"IXL","4","Design Snake Game | Find Median from Data Stream | Find the Derangement of An Array | Minimum Number of Steps to Make Two Strings Anagram"
"Jane Street","5","Add Two Integers | Binary Tree Inorder Traversal | Count Common Words With One Occurrence | Minimum Time to Make Array Sum At Most x | Walking Robot Simulation"
"Jeavio","1","Minimum Moves to Convert String"
"Jingchi","1","Basic Calculator III"
"jio","3","Add Two Numbers II | Making A Large Island | Spiral Matrix"
"Jio Platform Limited","1","Unique Paths"
"Jio Platforms Limited","2","Implement Stack using Queues | Linked List Cycle"
"John Deere India Pvt. Ltd. (JDTCI)","1","Linked List Cycle"
"Josh Software","2","Add Two Numbers II | Reverse Linked List II"
"Josh Technologies","8","All Nodes Distance K in Binary Tree | Coin Change II | Excel Sheet Column Title | Is Subsequence | Maximum Length of Pair Chain | Number of Good Leaf Nodes Pairs | Peak Index in a Mountain Array | Validate Binary Tree Nodes"
"Josh Technology Group","1","Asteroid Collision"
"JP Morgan","3","Display Table of Food Orders in a Restaurant | Kth Largest Element in an Array | Lexicographically Smallest String After Applying Operations"
"JP Morgan and Chase","2","Excel Sheet Column Title | Shortest Path in Binary Matrix"
"JP Morgan Chase","2","Median of Two Sorted Arrays | Minimum Depth of Binary Tree"
"JPMorgan","24","Add Two Numbers | Best Time to Buy and Sell Stock | Check if Number Has Equal Digit Count and Digit Value | Count Special Integers | Determine Color of a Chessboard Square | Even Odd Tree | Group Anagrams | Intersection of Two Arrays | Longest Substring Without Repeating Characters | LRU Cache | Maximum Number of Events That Can Be Attended | Maximum Number of Points From Grid Queries | Maximum Subarray | Maximum Units on a Truck | Minimum Absolute Difference | Minimum Value to Get Positive Step by Step Sum | Paint Fence | Reconstruct Original Digits from English | Remove Colored Pieces if Both Neighbors are the Same Color | Reverse Odd Levels of Binary Tree | Search in Rotated Sorted Array | Spiral Matrix | Sum of Subarray Ranges | Two Sum"
"JPMorgan & Chase","1","Sort Integers by The Number of 1 Bits"
"JPMorgan and Chase","14","Break a Palindrome | Counting Bits | Find Resultant Array After Removing Anagrams | Last Stone Weight II | Minimum Cost to Make Array Equal | Minimum Suffix Flips | Minimum Swaps to Make Strings Equal | Next Permutation | Numbers With Repeated Digits | Open the Lock | Pascal's Triangle | Pow(x, n) | Reaching Points | Suspicious Bank Accounts"
"JPMorgan Chase","1","Longest Palindromic Substring"
"JPMorgan Chase and Co.","1","Implement Stack using Queues"
"Jump Trading","1","Largest Combination With Bitwise AND Greater Than Zero"
"Juniper Networks","2","Counting Bits | Linked List Cycle"
"Jupiter Money","2","Add Two Numbers II | Longest Palindromic Substring"
"Juspay","7","Find Closest Node to Given Two Nodes | Longest Cycle in a Graph | Node With Highest Edge Score | Operations on Tree | Reverse Linked List II | Shortest Path in Binary Matrix | Unique Paths II"
"Kakao","2","Maximum Points in an Archery Competition | Minimum Moves to Reach Target with Rotations"
"Karat","15","Alert Using Same Key-Card Three or More Times in a One Hour Period | Check if Every Row and Column Contains All Numbers | Course Schedule II | Find Words That Can Be Formed by Characters | Flood Fill | Longest Common Subsequence | Lowest Common Ancestor of a Binary Tree | Maximum Length of Repeated Subarray | Minimum Jumps to Reach Home | Number of Islands | Subdomain Visit Count | Text Justification | Valid Sudoku | Word Search | Word Search II"
"Kempston","1","Median of Two Sorted Arrays"
"Kempston Global","2","Implement Stack using Queues | Search in Rotated Sorted Array"
"Kickdrum","1","Longest Increasing Subsequence"
"KPMG","1","Linked List Cycle"
"Kreeti technologies","1","Unique Paths II"
"Kritikal Solutions","1","Implement Stack using Queues"
"Kronos Incorporated","1","Longest Increasing Subsequence"
"Kulizaa","1","Reverse Linked List II"
"Larsen & Toubro","1","Reverse Linked List II"
"Larsen & Toubro Infotech","1","Longest Increasing Subsequence"
"Larsen & Toubro Infotech (LTI)","1","Candy"
"Leap Motion","1","Generate Random Point in a Circle"
"Lenskart","3","Longest Increasing Subsequence | LRU Cache | Reverse Linked List II"
"Leverage Edu","1","Text Justification"
"Liberin Technologies","1","Reverse Linked List II"
"Lifesight","1","Sliding Window Maximum"
"LinkedIn","120","4 Sum | Accounts Merge | All O`one Data Structure | Article Views I | Article Views II | Binary Tree Level Order Traversal | Binary Tree Upside Down | Binary Tree Zigzag Level Order Traversal | Break a Palindrome | Bulb Switcher | Can I Win | Can Place Flowers | Closest Binary Search Tree Value II | Coin Change II | Combination Sum | Count Different Palindromic Subsequences | Count Integers in Intervals | Create Binary Tree From Descriptions | Delete Node in a BST | Design Bounded Blocking Queue | Design HashMap | Design Search Autocomplete System | Edit Distance | Encode and Decode Strings | Evaluate Reverse Polish Notation | Exclusive Time of Functions | Factor Combinations | Find And Replace in String | Find First and Last Position of Element in Sorted Array | Find K Pairs with Smallest Sums | Find Largest Value in Each Tree Row | Find Leaves of Binary Tree | Find Median from Data Stream | Find Smallest Letter Greater Than Target | Find the Celebrity | Flatten Nested List Iterator | Graph Valid Tree | Implement Stack using Queues | Insert Delete GetRandom O(1) | Insert Delete GetRandom O(1) - Duplicates allowed | Insert Intervals | Insert into a Binary Search Tree | Intersection of Two Linked Lists | Isomorphic Strings | K Closest Points to Origin | Kth Largest Element in a Stream | Kth Largest Element in an Array | Kth Smallest Element in a BST | Kth Smallest Product of Two Sorted Arrays | LFU Cache | Longest Palindromic Subsequence | Lowest Common Ancestor of a Binary Search Tree | Lowest Common Ancestor of a Binary Tree | Lowest Common Ancestor of a Binary Tree III | LRU Cache | Max Area of Island | Max Points on a Line | Max Stack | Maximize Total Tastiness of Purchased Fruits | Maximum Depth of Binary Tree | Maximum Frequency Stack | Maximum Number of Non-overlapping Palindrome Substrings | Maximum Product Subarray | Maximum Subarray | Maximum Units on a Truck | Median of Two Sorted Arrays | Merge Intervals | Merge k Sorted Lists | Merge Sorted Array | Minimum Deletions to Make Array Divisible | Minimum Knight Moves | Minimum Window Substring | Nested List Weight Sum | Nested List Weight Sum II | New Users Daily Count | Next Permutation | Number of Connected Components in an Undirected Graph | Number of Islands | Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold | Paint House | Paint House II | Partition to K Equal Sum Subsets | Permutations | Pow(x, n) | Print Binary Tree | Random Pick with Weight | Remove All Ones With Row and Column Flips II | Remove Duplicates from Sorted Array | Repeated DNA Sequences | Reverse Words in a String | Robot Bounded In Circle | Rotate String | Rotting Oranges | Same Tree | Search in Rotated Sorted Array | Search in Rotated Sorted Array II | Second Minimum Node In a Binary Tree | Serialize and Deserialize Binary Tree | Serialize and Deserialize BST | Shortest Path with Alternating Colors | Shortest Word Distance | Shortest Word Distance II | Shortest Word Distance III | Sliding Window Maximum | Solving Questions With Brainpower | Sort Transformed Array | Sqrt(x) | Symmetric Tree | Text Justification | Time to Cross a Bridge | Two Sum III - Data structure design | Unique Paths | User Purchase Platform | Valid Number | Valid Parentheses | Valid Parenthesis String | Valid Perfect Square | Valid Triangle Number | Verifying an Alien Dictionary | Word Ladder"
"LiveRamp","5","Distribute Candies | Largest Time for Given Digits | Longest Harmonious Subsequence | Minesweeper | Spiral Matrix"
"Loconav","1","Add Two Numbers II"
"Lowe","2","Groups of Strings | The Number of Good Subsets"
"Lowes","1","Excel Sheet Column Title"
"LTI - Larsen & Toubro Infotech","1","Median of Two Sorted Arrays"
"Lucid","1","Collect Coins in a Tree"
"Lumiq","1","Reverse Linked List II"
"Lybrate","1","Linked List Cycle"
"Lyft","13","Asteroid Collision | Decode Ways | Max Stack | Minimum Number of Taps to Open to Water a Garden | Minimum Window Substring | Process Tasks Using Servers | Range Sum Query 2D - Immutable | Read N Characters Given Read4 | Read N Characters Given Read4 II - Call multiple times | Smallest Range Covering Elements from K Lists | Time Based Key-Value Store | Water and Jug Problem | Word Ladder"
"Machine Zone","2","Number of Transactions per Visit | Range Module"
"Maersk","1","Search in Rotated Sorted Array"
"Magicbricks","1","Linked List Cycle"
"MagicPIN","2","Longest Increasing Subsequence | Longest Palindromic Substring"
"Mahindra Comviva","3","Coin Change II | Linked List Cycle | Word Break"
"MakeMyTrip","22","Copy List with Random Pointer | Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree | Implement Stack using Queues | Length of Longest Subarray With at Most K Frequency | Linked List Cycle | Longest Ideal Subsequence | Longest Increasing Subsequence | Longest Palindromic Substring | Minimum Cost to Make Array Equal | Minimum Depth of Binary Tree | Path With Minimum Effort | Reachable Nodes With Restrictions | Remove All Occurrences of a Substring | Remove K Digits | Repeated Substring Pattern | Reverse Linked List II | Reverse Words in a String III | Search in Rotated Sorted Array | Shortest Path in Binary Matrix | Sum Of Special Evenly-Spaced Elements In Array | Validate Binary Tree Nodes | Word Break"
"MAQ","1","Frequency of the Most Frequent Element"
"MAQ Software","7","Excel Sheet Column Title | Linked List Cycle | Maximum Level Sum of a Binary Tree | Reverse Words in a String III | Single Number II | Unique Substrings in Wraparound String | Word Break"
"Mathway","2","Longest Increasing Subsequence | Validate Binary Tree Nodes"
"Mathworks","22","01 Matrix | Cherry Pickup | Coin Change | Count Anagrams | Degree of an Array | Distinct Subsequences | Fraction to Recurring Decimal | Jump Game VI | Keyboard Row | Last Substring in Lexicographical Order | Longest String Chain | Maximum Number of Alloys | Minimum Cost Tree From Leaf Values | Minimum Moves to Equal Array Elements | Minimum Number of Taps to Open to Water a Garden | Remove Colored Pieces if Both Neighbors are the Same Color | Reverse Linked List II | Sliding Window Maximum | String Transformation | Sum of Distances in Tree | Total Cost to Hire K Workers | Unique Paths"
"Maverick system","1","Longest String Chain"
"McKinsey","3","Break a Palindrome | Maximal Score After Applying K Operations | Minimum One Bit Operations to Make Integers Zero"
"McKinsey & Company","2","Bus Routes | Kth Largest Element in an Array"
"Meddo Health","1","Median of Two Sorted Arrays"
"Media.Net","17","Count the Number of Square-Free Subsets | Difference Between Maximum and Minimum Price Sum | Interleaving String | Make the XOR of All Segments Equal to Zero | Maximum Genetic Difference Query | Maximum Value of an Ordered Triplet I | Maximum Value of an Ordered Triplet II | Maximum XOR of Two Non-Overlapping Subtrees | Minimum Cost to Cut a Stick | Minimum Operations to Form Subsequence With Target Sum | Minimum Time Visiting All Points | Minimum Total Space Wasted With K Resizing Operations | Minimum XOR Sum of Two Arrays | Number of Ways to Separate Numbers | Queens That Can Attack the King | Sum of Remoteness of All Cells | The Number of Good Subsets"
"MediaTek","1","Counting Bits"
"Meesho","12","Add Two Numbers II | Copy List with Random Pointer | Count Complete Substrings | Find the Longest Equal Subarray | Longest Increasing Subsequence | Max Chunks To Make Sorted II | Minimum Deletions to Make Character Frequencies Unique | Minimum Edge Reversals So Every Node Is Reachable | Minimum Number of Taps to Open to Water a Garden | Number of Possible Sets of Closing Branches | Number of Strings Which Can Be Rearranged to Contain Substring | Subsequence With the Minimum Score"
"Meituan","1","Check if Bitwise OR Has Trailing Zeros"
"Mercari","5","Count Largest Group | Crawler Log Folder | Max Difference You Can Get From Changing an Integer | Minimum Subsequence in Non-Increasing Order | Smallest Missing Non-negative Integer After Operations"
"Mercer Mettl","2","Longest Increasing Subsequence | Sliding Window Maximum"
"Meta","3","Count All Valid Pickup and Delivery Options | Find the Index of the First Occurrence in a String | Find the Longest Valid Obstacle Course at Each Position"
"Mettle","1","Validate Binary Tree Nodes"
"Microfocus","1","Reverse Linked List II"
"Micron Technology","1","Counting Bits"
